CHURN,GENDER,STATUS,CAROWNER,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,CHILDREN,ESTINCOME,AGE,DROPPED,RATEPLAN,LONGDISTANCE,INTERNATIONAL,LOCAL,USAGE,PHASE
F,M,M,N,CC,FreeLocal,Intnl_discount,2,21416.5,36.0,0,1,9.0,9.0,8.0,27.0,Adult
F,F,M,N,Auto,Budget,Standard,2,38215.9,31.0,0,2,0.0,0.0,0.0,0.0,Adult
T,F,M,N,CC,FreeLocal,Standard,1,13829.4,22.0,0,1,28.0,0.0,160.0,176.0,Adult
F,F,M,N,CH,Budget,Intnl_discount,2,49745.3,48.0,0,3,2.0,0.0,24.0,27.0,Adult
F,M,S,N,CC,Budget,Intnl_discount,0,89142.7,33.0,0,2,3.0,8.0,5.0,16.0,Adult
F,F,S,N,Auto,FreeLocal,Intnl_discount,0,74530.8,63.0,0,2,20.0,0.0,106.0,127.0,Adult
T,F,S,N,CC,Budget,Standard,0,35000.0,23.0,0,3,30.0,0.0,262.0,265.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,2,76289.2,48.0,0,2,22.0,0.0,82.0,104.0,Adult
T,M,M,N,CC,Budget,Standard,1,66931.9,64.0,0,4,11.0,0.0,5.0,17.0,Adult
T,F,D,Y,CC,FreeLocal,Standard,1,9309.57,24.0,0,2,40.0,0.0,99.0,108.0,Adult
T,F,S,N,CC,Budget,Intnl_discount,0,32962.6,19.0,0,2,27.0,0.0,154.0,168.0,Adult
T,F,S,N,CC,Budget,Standard,0,40000.0,20.0,0,2,26.0,0.0,61.0,65.0,Adult
T,F,S,N,Auto,Budget,Standard,2,33330.0,21.0,0,3,33.0,0.0,35.0,41.0,Adult
T,F,S,N,Auto,Budget,Intnl_discount,1,32098.0,22.0,0,1,33.0,0.0,9.0,23.0,Adult
T,F,S,N,CC,FreeLocal,Standard,2,30090.0,24.0,0,1,37.0,2.0,38.0,62.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,90271.6,45.0,0,4,13.0,0.0,96.0,110.0,Adult
F,F,M,Y,CC,Budget,Standard,2,64816.6,31.0,0,2,21.0,0.0,6.0,27.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,98217.1,45.0,0,1,29.0,0.0,13.0,42.0,Adult
T,F,S,N,CH,Budget,Intnl_discount,1,2929.13,54.0,0,1,14.0,0.0,88.0,102.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,96223.4,65.0,0,1,11.0,0.0,5.0,18.0,Adult
T,M,M,Y,CC,Budget,Standard,0,69168.4,62.0,0,2,14.0,6.0,214.0,234.0,Adult
F,M,M,Y,CC,Budget,Intnl_discount,1,92148.5,33.0,0,2,3.0,0.0,100.0,113.0,Adult
F,M,S,Y,CC,FreeLocal,Intnl_discount,0,62705.9,32.0,0,2,8.0,0.0,6.0,33.0,Adult
F,M,S,N,CC,FreeLocal,Standard,0,84479.2,30.0,0,2,7.0,0.0,43.0,56.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,64977.4,38.0,0,2,28.0,0.0,17.0,45.0,Adult
T,F,M,N,CH,FreeLocal,Standard,0,77994.0,51.0,0,1,12.0,0.0,89.0,102.0,Adult
T,F,M,Y,CC,Budget,Standard,0,59008.4,30.0,0,1,12.0,0.0,18.0,31.0,Adult
T,M,S,N,CH,FreeLocal,Intnl_discount,1,84978.1,22.0,0,1,5.0,7.0,76.0,88.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,2,36647.9,50.0,0,3,21.0,0.0,85.0,107.0,Adult
T,F,S,N,CH,Budget,Intnl_discount,0,64319.2,41.0,0,1,3.0,0.0,37.0,40.0,Adult
F,F,S,N,Auto,Budget,Intnl_discount,1,73338.0,48.0,0,3,20.0,0.0,9.0,29.0,Adult
F,F,M,N,CC,Budget,Standard,2,16962.2,45.0,0,2,18.0,0.0,8.0,27.0,Adult
F,M,M,N,CH,Budget,Intnl_discount,2,10708.3,26.0,0,3,20.0,4.0,117.0,142.0,Adult
T,F,M,N,CC,Budget,Standard,0,2031.61,20.0,0,2,21.0,0.0,87.0,109.0,Adult
F,F,S,N,CH,FreeLocal,Standard,2,16938.5,55.0,0,2,13.0,0.0,8.0,22.0,Adult
F,M,S,N,CC,Budget,Intnl_discount,2,72084.7,56.0,0,1,29.0,0.0,9.0,38.0,Adult
F,F,S,N,Auto,Budget,Intnl_discount,1,49072.0,47.0,0,2,23.0,0.0,10.0,34.0,Adult
T,M,M,N,CH,Budget,Standard,1,71472.9,42.0,0,3,16.0,0.0,114.0,130.0,Adult
F,F,M,N,CC,Budget,Standard,0,95405.7,42.0,0,4,7.0,0.0,6.0,13.0,Adult
F,F,S,Y,CC,Budget,Standard,0,95786.8,43.0,0,4,21.0,0.0,87.0,108.0,Adult
F,F,M,N,CH,Budget,Standard,2,56187.0,42.0,0,2,8.0,0.0,13.0,21.0,Adult
T,F,S,N,CC,Budget,Intnl_discount,1,37000.0,24.0,0,2,23.0,0.0,206.0,229.0,Adult
F,M,M,N,CH,FreeLocal,Standard,2,29616.0,49.0,0,1,29.0,0.0,45.0,75.0,Adult
F,M,M,N,CC,FreeLocal,Standard,0,19732.8,51.0,0,2,24.0,0.0,22.0,47.0,Adult
F,M,S,N,CC,Budget,Standard,2,96.33,56.0,1,4,26.0,0.0,32.0,59.0,Adult
F,F,M,N,CH,Budget,Intnl_discount,2,52004.8,25.0,0,1,5.0,0.0,23.0,28.0,Adult
F,M,M,N,CC,FreeLocal,Standard,2,53010.8,19.0,4,1,12.0,0.0,46.0,58.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,0,75004.5,65.0,0,2,26.0,0.0,32.0,58.0,Adult
F,M,S,Y,CC,Budget,Standard,1,57626.9,44.0,0,3,9.0,0.0,38.0,48.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,2,47902.0,26.0,1,4,17.0,4.0,49.0,72.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,78851.3,48.0,0,4,0.0,0.0,28.0,29.0,Adult
T,F,S,Y,Auto,Budget,Standard,1,17540.7,63.0,0,1,22.0,0.0,13.0,36.0,Adult
T,F,M,Y,CH,Budget,Standard,0,83891.9,61.0,0,4,28.0,0.0,45.0,74.0,Adult
T,F,M,N,CC,FreeLocal,Standard,2,28220.8,39.0,0,4,26.0,0.0,12.0,38.0,Adult
F,F,M,N,CC,Budget,Standard,2,5237.63,49.0,0,1,13.0,8.0,56.0,78.0,Adult
T,F,S,N,CC,Budget,Standard,1,13576.5,39.0,0,4,14.0,0.0,25.0,40.0,Adult
T,F,M,N,CC,Budget,Standard,2,67388.0,53.0,1,3,4.0,0.0,91.0,96.0,Adult
F,F,M,Y,CH,Budget,Standard,1,57063.0,52.0,0,4,16.0,0.0,81.0,98.0,Adult
T,F,M,N,CC,Budget,Standard,2,84166.1,54.0,1,1,3.0,0.0,11.0,15.0,Adult
T,F,S,N,CC,FreeLocal,Standard,1,7737.94,43.0,0,2,11.0,0.0,50.0,61.0,Adult
T,M,S,N,CH,Budget,Standard,2,100020.0,48.0,0,4,21.0,0.0,293.0,314.0,Adult
F,F,M,Y,CC,Budget,Standard,2,45287.6,29.0,0,3,0.0,0.0,2.0,2.0,Adult
T,F,M,N,CC,Budget,Intnl_discount,2,59613.1,34.0,0,2,12.0,0.0,163.0,175.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,1,16326.7,51.0,0,2,0.0,0.0,1.0,1.0,Adult
T,F,S,N,CC,FreeLocal,Standard,2,9559.78,51.0,0,3,18.0,0.0,59.0,77.0,Adult
F,F,M,Y,Auto,FreeLocal,Intnl_discount,2,83284.1,28.0,0,3,26.0,0.0,9.0,35.0,Adult
F,F,D,N,Auto,FreeLocal,Standard,1,68427.4,42.0,0,4,23.0,0.0,50.0,73.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,98716.3,56.0,0,4,20.0,8.0,13.0,43.0,Adult
T,F,S,N,CH,FreeLocal,Standard,2,84789.3,50.0,0,4,14.0,8.0,10.0,33.0,Adult
F,F,M,Y,CC,Budget,Intnl_discount,0,32703.1,65.0,0,4,16.0,0.0,56.0,72.0,Adult
F,F,M,N,CH,FreeLocal,Standard,2,8204.72,53.0,0,4,15.0,0.0,24.0,39.0,Adult
T,M,S,Y,CC,FreeLocal,Intnl_discount,0,64136.6,61.0,0,2,16.0,1.0,125.0,142.0,Adult
T,F,M,Y,CH,FreeLocal,Standard,2,45429.7,62.0,0,3,24.0,0.0,73.0,97.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,25285.5,54.0,0,4,9.0,0.0,11.0,21.0,Adult
F,F,S,Y,CC,FreeLocal,Standard,0,69350.5,57.0,0,4,1.0,0.0,25.0,27.0,Adult
T,M,S,N,CC,Budget,Standard,2,43634.5,22.0,0,4,29.0,9.0,104.0,143.0,Adult
T,M,S,N,CC,Budget,Standard,1,92647.5,56.0,0,4,16.0,5.0,10.0,32.0,Adult
F,M,S,Y,CC,Budget,Standard,2,21021.6,63.0,0,2,3.0,0.0,11.0,14.0,Adult
T,F,S,N,Auto,Budget,Standard,2,28787.4,42.0,0,3,27.0,0.0,58.0,86.0,Adult
T,F,M,Y,CC,Budget,Standard,1,20550.9,22.0,0,4,27.0,0.0,57.0,85.0,Adult
T,F,S,N,Auto,Budget,Standard,2,19131.1,56.0,0,1,22.0,0.0,34.0,57.0,Adult
F,M,M,Y,Auto,Budget,Intnl_discount,2,42750.3,50.0,0,2,20.0,1.0,112.0,134.0,Adult
T,F,S,N,Auto,Budget,Intnl_discount,2,2842.55,46.0,0,4,0.0,0.0,0.0,0.0,Adult
F,M,M,N,CC,Budget,Standard,2,22358.1,53.0,0,3,15.0,1.0,12.0,29.0,Adult
F,F,S,Y,CH,Budget,Standard,2,6440.46,41.0,0,2,22.0,0.0,27.0,49.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,0,7325.5,37.0,0,2,28.0,0.0,161.0,190.0,Adult
F,M,M,N,CC,Budget,Standard,2,28766.9,47.0,0,4,6.0,0.0,58.0,64.0,Adult
T,M,S,Y,CC,FreeLocal,Intnl_discount,0,69000.0,52.0,1,4,11.0,9.0,115.0,137.0,Adult
F,M,M,Y,CC,Budget,Standard,2,1406.05,19.0,0,3,11.0,0.0,15.0,26.0,Adult
F,F,S,N,Auto,Budget,Standard,0,73228.3,43.0,0,2,22.0,0.0,28.0,50.0,Adult
F,M,M,Y,CC,Budget,Standard,2,49910.7,52.0,0,1,27.0,0.0,23.0,51.0,Adult
T,F,S,N,Auto,Budget,Standard,1,12686.0,65.0,0,1,23.0,0.0,80.0,103.0,Adult
F,M,M,Y,CC,FreeLocal,Standard,2,57360.8,53.0,0,2,10.0,0.0,57.0,67.0,Adult
T,M,M,N,CH,FreeLocal,Standard,1,60102.7,42.0,1,4,9.0,0.0,62.0,72.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,1,12526.3,54.0,0,1,11.0,0.0,28.0,40.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,48238.8,35.0,0,1,23.0,0.0,168.0,191.0,Adult
F,F,S,N,CC,Budget,Intnl_discount,2,76791.2,47.0,0,1,20.0,0.0,23.0,43.0,Adult
F,F,M,N,CH,Budget,Standard,2,3193.6,54.0,1,3,4.0,0.0,114.0,118.0,Adult
